Categoría,Subcategoría,Palabras Clave (Para el bot),Respuesta Verificada (Lenguaje sencillo para el chat),Disclaimer Obligatorio (¡Crítico!)
Alimentación (Mitos),"""El suplemento es gratis""","""el hierro es gratis"", ""las gotas cuestan""","""En el Perú, la suplementación con hierro (gotas, jarabe, micronutrientes) y las pastillas para gestantes son gratuitas en todos los establecimientos del Ministerio de Salud (MINSA).""","""Acude a tu centro de salud más cercano. Es tu derecho y el de tu bebé recibir esta prevención."""
Alimentación (Bebés),Dejar que coma solo,"""el bebé juega con la comida"", ""dejar que se ensucie"", ""comer con las manos""","""Es parte de su aprendizaje. Dejar que tu bebé toque la comida, la explore y intente comer solo (aunque se ensucie) es bueno para su desarrollo. Supervisa que coma, pero dale esa libertad.""","""Ten paciencia. Comer también es una forma de descubrir el mundo."""
Alimentación (Gestantes),Evitar (Pescado Crudo),"""comer ceviche embarazada"", ""pescado crudo embarazo"", ""sushi""","""Durante el embarazo, se recomienda evitar las carnes y pescados crudos (como el ceviche o el sushi). Estos alimentos pueden tener bacterias o parásitos que pueden ser muy peligrosos para ti y para tu bebé.""","""Come pescado, ¡es muy bueno! Pero asegúrate de que esté siempre bien cocido."""
Alimentación (Gestantes),Evitar (Queso fresco),"""queso fresco embarazo"", ""queso sin pasteurizar"", ""listeria""","""Ten cuidado con los quesos frescos no pasteurizados (los que a veces se venden 'artesanales' sin registro). Pueden tener una bacteria llamada Listeria, que es muy riesgosa en el embarazo. Prefiere quesos pasteurizados que compras en tiendas.""","""Lee la etiqueta y asegúrate de que diga 'Hecho con leche pasteurizada'."""
Alimentación (General),Enfoque: Doble Propósito,"""doble propósito"", ""comida buena para todo""","""Una alimentación saludable (basada en alimentos naturales, menestras, carnes, frutas, verduras) tiene un 'doble propósito': previene la anemia (porque da hierro) y previene el sobrepeso (porque no tiene exceso de azúcar ni grasa).""","""Comer sano es la mejor estrategia para proteger a toda la familia."""
Alimentación (Bebés),Hito 6m (Resumen),"""resumen 6 meses"", ""qué hacer a los 6 meses""","""A los 6 meses, recuerda 3 cosas importantes: 1. Iniciar la comida (papillas espesas). 2. Asegurar 2 cucharadas de hierro animal (hígado, sangrecita) en su comida. 3. Llevarlo a su control para su primer descarte de anemia (hemoglobina).""","""Recuerda que esta información no reemplaza la consulta con un profesional de la salud."""
Alimentación (Gestantes),Hito 14 semanas (Resumen),"""resumen semana 14"", ""qué hacer semana 14""","""A la semana 14 de gestación (o en tu primer control), recuerda 2 cosas: 1. Iniciar tu suplemento de Hierro + Ácido Fólico todos los días. 2. Aumentar tu consumo de alimentos ricos en hierro (5 cucharadas).""","""Sigue siempre las indicaciones de tu obstetra o médico."""
Alimentación (Bebés),Preparación de Alimentos,"""higiene al cocinar"", ""lavar alimentos""","""La higiene es clave para prevenir infecciones que causan anemia. Lávate siempre las manos, lava bien las frutas y verduras, y cocina completamente todas las carnes (pollo, res, pescado, vísceras).""","""Evita la contaminación cruzada (no uses la misma tabla de picar para carne cruda y verduras)."""
Alimentación (General),Prioridad de Alimentos,"""ranking de alimentos con hierro"", ""cuál es el mejor alimento para la anemia""","""Si tuviéramos un ranking de poder contra la anemia, los 3 primeros puestos (los más poderosos) son: 1. Sangrecita, 2. Bazo, 3. Hígado. Después vienen las carnes rojas y el pescado oscuro.""","""Basa la alimentación de tu bebé en estos alimentos campeones."""
Alimentación (Mitos),"""Las verduras rojas curan""","""tomate cura la anemia"", ""pimiento rojo""","""No. El color rojo de la betarraga, el tomate o el pimiento no tiene relación con el hierro. Son saludables por sus vitaminas (el tomate y el pimiento tienen Vitamina C, que ayuda a absorber el hierro vegetal), pero no son la fuente principal de hierro.""","""Recuerda, la fuente principal es el hierro de origen animal (carnes y vísceras)."""
Alimentación (Mitos),"""El hierro daña el estómago""","""el hierro da gastritis"", ""las pastillas malogran el estómago""","""Los suplementos de hierro (pastillas o gotas) pueden causar malestar estomacal, náuseas o ardor en algunas personas. No es que 'dañen' el estómago, sino que son irritantes.""","""Para evitarlo, no los tomes en ayunas. Tómalo con un refrigerio o antes de dormir. Si eres gestante y el malestar es fuerte, habla con tu obstetra."""
Alimentación (Mitos),"""La comida procesada es más fácil""","""es más fácil dar galletas"", ""falta de tiempo para cocinar""","""Entendemos que la vida diaria es ocupada. Pero los alimentos procesados (galletas, fideos instantáneos, jugos de caja) no alimentan a tu bebé. Están llenos de azúcar, sal y químicos, y no tienen el hierro que su cerebro necesita.""","""Cocinar una papilla de sangrecita o hígado no toma mucho tiempo y es la mejor inversión en su salud."""
Alimentación (Mitos),"""El bebé decide qué comer""","""mi hijo no le gusta"", ""solo come fideos"", ""solo quiere leche""","""Es normal que los niños prefieran lo dulce o lo salado. Pero en la etapa de 6 a 24 meses, los padres son responsables de la calidad de la comida. El bebé no va a 'pedir' hígado. Debemos ofrecerle los alimentos nutritivos de forma paciente y constante.""","""Si solo come fideos o galletas, tendrá un alto riesgo de anemia. Sigue ofreciendo los alimentos ricos en hierro."""
Alimentación (General),Anemia y COVID-19,"""covid y anemia"", ""la pandemia afectó la anemia""","""Sí. Durante la pandemia del COVID-19, fue más difícil para las familias acceder a los controles de salud y a alimentos frescos. Esto causó que las cifras de anemia, que estaban bajando, volvieran a subir en el Perú.""","""Por eso, ahora es más importante que nunca retomar los controles CRED y la buena alimentación."""
Alimentación (General),Hierro y Cerebro (1000 días),"""1000 días"", ""importancia de los 1000 días"", ""hierro y mil días""","""Los primeros 1000 días de vida (desde la gestación hasta los 2 años) son la etapa más importante del desarrollo del cerebro. El hierro es el mineral clave para este proceso. La anemia en esta etapa puede afectar su potencial para siempre.""","""Prevenir la anemia en los primeros 1000 días es darle el mejor comienzo posible en la vida."""
Alimentación (General),Causa: Dieta Monótona,"""comer siempre lo mismo"", ""solo come arroz y papa""","""Una dieta monótona (comer siempre lo mismo, ej. solo arroz, papa y fideos) es una causa de anemia. El cuerpo necesita variedad de nutrientes (hierro, zinc, B12, Vit. A, proteínas) y esos alimentos no los tienen.""","""Asegura que cada día haya una porción de alimento de origen animal (vísceras, carnes) y también frutas y verduras."""
Alimentación (General),Estrategia Integral,"""estrategia integral anemia"", ""plan multisectorial""","""La anemia es un problema complejo. No se soluciona solo con gotas. Se necesita un plan integral: salud (controles, suplementos), alimentación (comida con hierro), saneamiento (agua segura, lavado de manos) y educación (consejería).""","""Como madre, tu rol en los controles y la alimentación es el más importante."""
Alimentación (Bebés),Hierro y Dientes (Repaso),"""el hierro pica los dientes"", ""caries por el hierro"", ""dientes negros""","""El suplemento de hierro líquido (gotas o jarabe) puede causar manchas superficiales (no caries) si se queda mucho tiempo en la boca. No es que 'pique' el diente.""","""Para evitarlo, dale el suplemento rápido, en la parte de atrás de la mejilla, y si ya tiene dientes, puedes limpiárselos con una gasa o cepillo después."""
Alimentación (Mitos),"""La sangrecita es para animales""","""la sangrecita es comida de perro"", ""mito sangrecita""","""Esa es una idea equivocada. La sangrecita es un alimento humano tradicional en muchas culturas, incluida la andina. Es uno de los alimentos más nutritivos y económicos del planeta, superior a muchas carnes.""","""Darle sangrecita a tu bebé es darle nutrición de la más alta calidad."""
Alimentación (Mitos),"""El hígado es sucio""","""el hígado filtra toxinas"", ""es malo comer hígado""","""El hígado es un órgano que procesa sustancias, pero no las almacena (las toxinas se eliminan por la orina). El hígado almacena nutrientes buenos, como el Hierro y la Vitamina A. Si lo compras en un lugar limpio y lo cocinas bien, es un alimento seguro y muy nutritivo.""","""Recuerda que esta información no reemplaza la consulta con un profesional de la salud."""
Alimentación (Mitos),"""El bebé no lo necesita""","""mi bebé está sano"", ""no necesita hierro""","""Tu bebé puede verse sano, pero la anemia leve no se ve. En la etapa de 4 a 12 meses, su crecimiento es tan veloz que todos los bebés necesitan un refuerzo de hierro (suplemento) para asegurar el desarrollo de su cerebro, incluso si comen bien.""","""No te saltes el suplemento. Es una medida de prevención clave para todos los bebés."""
Alimentación (Mitos),"""El hierro da cólico""","""cólicos por el hierro"", ""el hierro le da gases""","""El suplemento de hierro (gotas) puede causar algunos malestares digestivos como gases o cólicos en algunos bebés. Intenta dárselo en un momento tranquilo, lejos de la leche.""","""Si los malestares son muy fuertes, habla con tu médico. A veces cambiar a Hierro Polimaltosado ayuda."""
Alimentación (General),Alimentos vs Suplementos (Recuperación),"""cómo curar la anemia"", ""solo comida para curar""","""Para curar la anemia (cuando ya está diagnosticada), la comida sola no es suficiente. Se necesita el tratamiento con dosis altas de hierro (suplemento) por 6 meses. La comida rica en hierro (sangrecita) es el apoyo para que el tratamiento funcione mejor y la anemia no regrese.""","""Debes hacer ambos: dar el tratamiento completo que te dio el médico y mejorar la alimentación."""
Alimentación (Bebés),Cantidad (Cucharada),"""cuánto es una cucharada"", ""medida casera""","""Las guías de alimentación usan 'cucharadas' como medida casera. Una cucharada llena de bofe o hígado picado son unos 15 a 25 gramos, que es la porción aproximada de hierro animal que necesita el bebé en su comida.""","""Recuerda que esta información no reemplaza la consulta con un profesional de la salud."""
Alimentación (Mitos),"""Las vitaminas son suficientes""","""le doy vitaminas"", ""vitaminas y anemia""","""Las vitaminas (como la A, C, B) son importantes, pero la anemia más común es por falta de hierro. Si le das un multivitamínico que no tiene hierro, no estás previniendo la anemia.""","""Asegúrate de que el suplemento que le das sea el específico de hierro (gotas) o los micronutrientes (sobre rojo)."""
Alimentación (Mitos),"""El hierro en polvo es malo""","""el polvito es químico"", ""es mejor las gotas""","""Tanto las gotas (líquido) como los micronutrientes (polvo) son formas seguras y efectivas de dar hierro. El polvo (micronutrientes) tiene la ventaja de que no tiene sabor y además trae otras vitaminas como Zinc y Vitamina A.""","""Ambos son buenas opciones. El centro de salud te dará el que corresponde a la edad de tu bebé."""
Alimentación (Bebés),¿Por qué desde los 6m?,"""por qué comida a los 6 meses y no a los 5"", ""inicio de alimentación""","""Se espera a los 6 meses porque: 1. La leche materna es suficiente hasta esa edad. 2. El bebé ya tiene mejor control de su cabeza y cuello. 3. Su sistema digestivo está más maduro para recibir alimentos.""","""Empezar a los 6 meses es lo más seguro y saludable."""
Alimentación (Gestantes),Hígado (Resumen),"""resumen hígado embarazo"", ""puedo comer hígado""","""Sí puedes comer hígado, es una gran fuente de hierro. Solo que, por precaución (por su alto contenido de Vitamina A), se recomienda moderar su consumo a 1 vez por semana. Los otros días, prefiere sangrecita, bazo o carnes rojas.""","""Sigue siempre las indicaciones de tu obstetra o médico."""
Alimentación (Bebés),¿Cómo sé si está listo?,"""cómo sé si mi bebé quiere comer"", ""señales para empezar a comer""","""Estará listo para empezar a comer (alrededor de los 6 meses) si ves estas señales: 1. Se sienta con apoyo y puede mantener la cabeza firme. 2. Muestra interés por la comida (mira cuando comes). 3. Abre la boca cuando le acercas una cuchara.""","""Consulta en tu control CRED, ellos te confirmarán si ya está listo para empezar."""
